company,account,amount,date,,fund
allianz,DA934959,0,8/24/2015,1497.0866,bd
allianz,GAJ00406,0,8/24/2015,1237.4276,bd
allianz,DA218285,0,8/24/2015,1016.6153,bd
allianz,DA192125,0,8/24/2015,851.9326,bd
allianz,DA192126,0,8/24/2015,851.9326,bd
allianz,DA008913,0,8/24/2015,691.4461,bd
allianz,DA219708,0,8/24/2015,679.254,bd
allianz,DA219709,0,8/24/2015,679.254,bd
allianz,DA305209,0,8/24/2015,675.6588,bd
allianz,DA934954,0,8/24/2015,669.5516,bd
allianz,DA455971,0,8/24/2015,651.5941,bd
allianz,DA602390,0,8/24/2015,612.2139,bd
allianz,DA602419,0,8/24/2015,585.8975,bd
allianz,DA304254,0,8/24/2015,584.9,bd
allianz,DA303209,0,8/24/2015,571.098,bd
allianz,DA203751,0,8/24/2015,501.5967,bd
allianz,DA303332,0,8/24/2015,481.9,bd
allianz,DA221527,0,8/24/2015,470.8514,bd
allianz,DA466519,0,8/24/2015,430.9217,bd
allianz,DA441919,0,8/24/2015,401.7504,bd
allianz,DA416272,0,8/24/2015,363.8732,bd
allianz,DA453514,0,8/24/2015,343.178,bd
allianz,DA240932,0,8/24/2015,340.1646,bd
allianz,DA260152,0,8/24/2015,269.7368,bd
allianz,DA456101,0,8/24/2015,267.747,bd
allianz,DA417139,0,8/24/2015,250.292,bd
allianz,DA453862,0,8/24/2015,238.1417,bd
allianz,DA438465,0,8/24/2015,232.071,bd
allianz,DA457966,0,8/24/2015,216.2061,bd
allianz,DA456100,0,8/24/2015,200.5116,bd
allianz,DA412680,0,8/24/2015,200.2666,bd
allianz,DA412681,0,8/24/2015,200.2666,bd
allianz,DA448474,0,8/24/2015,197.6784,bd
allianz,DA458468,0,8/24/2015,196.3018,bd
allianz,DA214675,0,8/24/2015,193.1701,bd
allianz,DA244963,0,8/24/2015,190.1322,bd
allianz,DA205422,0,8/24/2015,186.5002,bd
allianz,DA437478,0,8/24/2015,171.5289,bd
allianz,DA602411,0,8/24/2015,152.2359,bd
allianz,DA432334,0,8/24/2015,139.77,bd
allianz,DA454829,0,8/24/2015,125.4095,bd
allianz,DA282188,0,8/24/2015,113.5791,bd
allianz,DA303265,0,8/24/2015,113.0582,bd
allianz,DA260965,0,8/24/2015,110.7568,bd
allianz,DA448293,0,8/24/2015,104.2271,bd
allianz,DA436284,0,8/24/2015,103.3632,bd
allianz,DA158853,0,8/24/2015,85.1936,bd
allianz,DA464524,0,8/24/2015,82.105,bd
allianz,DA912168,0,8/24/2015,72.2482,bd
allianz,DA912169,0,8/24/2015,72.2482,bd
allianz,DA421508,0,8/24/2015,63.5735,bd
allianz,DA258423,0,8/24/2015,62.6964,bd
allianz,DA439101,0,8/24/2015,57.2437,bd
allianz,DA448675,0,8/24/2015,56.2773,bd
allianz,DA258590,0,8/24/2015,56.198,bd
allianz,DA448697,0,8/24/2015,51.0158,bd
allianz,DA256838,0,8/24/2015,49.2037,bd
allianz,DA256839,0,8/24/2015,45.7538,bd
allianz,DA415402,0,8/24/2015,26.294,bd
allianz,DA258422,0,8/24/2015,25.1072,bd
allianz,DA449565,0,8/24/2015,22.4709,bd
allianz,DA466676,0,8/24/2015,13.7768,bd
allianz,DA216870,0,8/24/2015,10.058,bd
allianz,DA250137,0,8/24/2015,9.2565,bd
allianz,DA441918,0,8/24/2015,9.1037,bd
allianz,DA415501,0,8/24/2015,5.2771,bd
