company,account,amount,date,units,fund,,,,,,,,,,,,,
vir,5808743,0,9/30/2014,-512.913,z6,,,,,,,,,,,,,
vir,5808743,0,9/30/2014,-350.22,z9,,,,,,,,,,,,,
vir,580378,0,9/30/2014,-116.041,z6,,,,,,,,,,,,,
vir,580378,0,9/30/2014,-104.393,z7,,,,,,,,,,,,,
vir,5788793,0,9/30/2014,-88.622,z6,,,,,,,,,,,,,
vir,580378,0,9/30/2014,-78.363,z9,,,,,,,,,,,,,
vir,5652084,0,9/30/2014,-70.37,z6,,,,,,,,,,,,,
vir,5560548,0,9/30/2014,-66.907,z7,,,,,,,,,,,,,
vir,5667082,0,9/30/2014,-60.103,z6,,,,,,,,,,,,,
vir,5788793,0,9/30/2014,-59.666,z9,,,,,,,,,,,,,
vir,5560465,0,9/30/2014,-47.954,z7,,,,,,,,,,,,,
vir,5652084,0,9/30/2014,-47.385,z9,,,,,,,,,,,,,
vir,5560548,0,9/30/2014,-45.712,z6,,,,,,,,,,,,,
vir,5567497,0,9/30/2014,-43.288,z7,,,,,,,,,,,,,
vir,5676195,0,9/30/2014,-42.575,z7,,,,,,,,,,,,,
vir,5667082,0,9/30/2014,-40.644,z9,,,,,,,,,,,,,
vir,5560488,0,9/30/2014,-39.342,z7,,,,,,,,,,,,,
vir,5560465,0,9/30/2014,-33.228,z6,,,,,,,,,,,,,
vir,5560548,0,9/30/2014,-31.214,z9,,,,,,,,,,,,,
vir,5567497,0,9/30/2014,-29.971,z6,,,,,,,,,,,,,
vir,5649771,0,9/30/2014,-29.495,z6,,,,,,,,,,,,,
vir,5560488,0,9/30/2014,-27.255,z6,,,,,,,,,,,,,
vir,5643274,0,9/30/2014,-23.272,z6,,,,,,,,,,,,,
vir,5560465,0,9/30/2014,-22.383,z9,,,,,,,,,,,,,
vir,5567497,0,9/30/2014,-20.18,z9,,,,,,,,,,,,,
vir,5649771,0,9/30/2014,-19.832,z9,,,,,,,,,,,,,
vir,5560488,0,9/30/2014,-18.363,z9,,,,,,,,,,,,,
vir,5806483,0,9/30/2014,-18.221,z6,,,,,,,,,,,,,
vir,5649771,0,9/30/2014,-17.708,z7,,,,,,,,,,,,,
vir,5806483,0,9/30/2014,-17.668,z7,,,,,,,,,,,,,
vir,5643274,0,9/30/2014,-15.71,z9,,,,,,,,,,,,,
vir,5784752,0,9/30/2014,-14.694,z6,,,,,,,,,,,,,
vir,5782908,0,9/30/2014,-14.518,z7,,,,,,,,,,,,,
vir,5784752,0,9/30/2014,-13.808,z7,,,,,,,,,,,,,
vir,5649159,0,9/30/2014,-13.41,z7,,,,,,,,,,,,,
vir,5806483,0,9/30/2014,-12.282,z9,,,,,,,,,,,,,
vir,5784752,0,9/30/2014,-12.165,z9,,,,,,,,,,,,,
vir,5661751,0,9/30/2014,-11.994,z6,,,,,,,,,,,,,
vir,5806935,0,9/30/2014,-10.869,z7,,,,,,,,,,,,,
vir,5665127,0,9/30/2014,-10.444,z6,,,,,,,,,,,,,
vir,5784784,0,9/30/2014,-10.175,z7,,,,,,,,,,,,,
vir,5782908,0,9/30/2014,-9.785,z6,,,,,,,,,,,,,
vir,5782873,0,9/30/2014,-8.687,z7,,,,,,,,,,,,,
vir,5661751,0,9/30/2014,-8.075,z9,,,,,,,,,,,,,
vir,5784660,0,9/30/2014,-8.072,z6,,,,,,,,,,,,,
vir,5430483,0,9/30/2014,-7.989,z6,,,,,,,,,,,,,
vir,5679490,0,9/30/2014,-7.983,z6,,,,,,,,,,,,,
vir,5679498,0,9/30/2014,-7.983,z6,,,,,,,,,,,,,
vir,5430487,0,9/30/2014,-7.958,z6,,,,,,,,,,,,,
vir,5679490,0,9/30/2014,-7.955,z7,,,,,,,,,,,,,
vir,5679498,0,9/30/2014,-7.955,z7,,,,,,,,,,,,,
vir,5430487,0,9/30/2014,-7.937,z7,,,,,,,,,,,,,
vir,5430483,0,9/30/2014,-7.934,z7,,,,,,,,,,,,,
vir,5773074,0,9/30/2014,-7.9,z6,,,,,,,,,,,,,
vir,5773074,0,9/30/2014,-7.87,z7,,,,,,,,,,,,,
vir,5784660,0,9/30/2014,-7.826,z7,,,,,,,,,,,,,
vir,5665127,0,9/30/2014,-7.037,z9,,,,,,,,,,,,,
vir,5808016,0,9/30/2014,-6.646,z6,,,,,,,,,,,,,
vir,5782908,0,9/30/2014,-6.583,z9,,,,,,,,,,,,,
vir,5673357,0,9/30/2014,-6.403,z6,,,,,,,,,,,,,
vir,5806935,0,9/30/2014,-6.07,z6,,,,,,,,,,,,,
vir,5782869,0,9/30/2014,-5.809,z6,,,,,,,,,,,,,
vir,5806479,0,9/30/2014,-5.748,z6,,,,,,,,,,,,,
vir,5784660,0,9/30/2014,-5.429,z9,,,,,,,,,,,,,
vir,5679490,0,9/30/2014,-5.384,z9,,,,,,,,,,,,,
vir,5679498,0,9/30/2014,-5.384,z9,,,,,,,,,,,,,
vir,5430483,0,9/30/2014,-5.371,z9,,,,,,,,,,,,,
vir,5430487,0,9/30/2014,-5.367,z9,,,,,,,,,,,,,
vir,5806760,0,9/30/2014,-5.354,z6,,,,,,,,,,,,,
vir,5773074,0,9/30/2014,-5.308,z9,,,,,,,,,,,,,
vir,5806760,0,9/30/2014,-4.807,z7,,,,,,,,,,,,,
vir,5665127,0,9/30/2014,-4.654,z7,,,,,,,,,,,,,
vir,5808016,0,9/30/2014,-4.474,z9,,,,,,,,,,,,,
vir,5673357,0,9/30/2014,-4.305,z9,,,,,,,,,,,,,
vir,5649159,0,9/30/2014,-4.219,z6,,,,,,,,,,,,,
vir,5806935,0,9/30/2014,-4.088,z9,,,,,,,,,,,,,
vir,5782869,0,9/30/2014,-3.918,z9,,,,,,,,,,,,,
vir,5806479,0,9/30/2014,-3.858,z9,,,,,,,,,,,,,
vir,5806760,0,9/30/2014,-3.611,z9,,,,,,,,,,,,,
vir,5649159,0,9/30/2014,-2.851,z9,,,,,,,,,,,,,
vir,5800485,0,9/30/2014,-1.923,z7,,,,,,,,,,,,,
vir,5782873,0,9/30/2014,-0.948,z6,,,,,,,,,,,,,
vir,5782873,0,9/30/2014,-0.642,z9,,,,,,,,,,,,,
vir,5800485,0,9/30/2014,-0.521,z6,,,,,,,,,,,,,
vir,5800485,0,9/30/2014,-0.35,z9,,,,,,,,,,,,,
vir,5800485,0,9/30/2014,0.295,gn,,,,,,,,,,,,,
vir,5800485,0,9/30/2014,0.519,bd,,,,,,,,,,,,,
vir,5782873,0,9/30/2014,0.54,gn,,,,,,,,,,,,,
vir,5782873,0,9/30/2014,0.944,bd,,,,,,,,,,,,,
vir,5800485,0,9/30/2014,1.704,z5,,,,,,,,,,,,,
vir,5649159,0,9/30/2014,2.4,gn,,,,,,,,,,,,,
vir,5806760,0,9/30/2014,3.04,gn,,,,,,,,,,,,,
vir,5806479,0,9/30/2014,3.248,gn,,,,,,,,,,,,,
vir,5782869,0,9/30/2014,3.298,gn,,,,,,,,,,,,,
vir,5806935,0,9/30/2014,3.441,gn,,,,,,,,,,,,,
vir,5673357,0,9/30/2014,3.623,gn,,,,,,,,,,,,,
vir,5808016,0,9/30/2014,3.766,gn,,,,,,,,,,,,,
vir,5665127,0,9/30/2014,4.123,z5,,,,,,,,,,,,,
vir,5649159,0,9/30/2014,4.193,bd,,,,,,,,,,,,,
vir,5806760,0,9/30/2014,4.261,z5,,,,,,,,,,,,,
vir,5773074,0,9/30/2014,4.468,gn,,,,,,,,,,,,,
vir,5430487,0,9/30/2014,4.518,gn,,,,,,,,,,,,,
vir,5430483,0,9/30/2014,4.52,gn,,,,,,,,,,,,,
vir,5679490,0,9/30/2014,4.531,gn,,,,,,,,,,,,,
vir,5679498,0,9/30/2014,4.531,gn,,,,,,,,,,,,,
vir,5784660,0,9/30/2014,4.57,gn,,,,,,,,,,,,,
vir,5806760,0,9/30/2014,5.322,bd,,,,,,,,,,,,,
vir,5782908,0,9/30/2014,5.541,gn,,,,,,,,,,,,,
vir,5806479,0,9/30/2014,5.711,bd,,,,,,,,,,,,,
vir,5782869,0,9/30/2014,5.772,bd,,,,,,,,,,,,,
vir,5665127,0,9/30/2014,5.922,gn,,,,,,,,,,,,,
vir,5806935,0,9/30/2014,6.034,bd,,,,,,,,,,,,,
vir,5673357,0,9/30/2014,6.364,bd,,,,,,,,,,,,,
vir,5808016,0,9/30/2014,6.604,bd,,,,,,,,,,,,,
vir,5661751,0,9/30/2014,6.797,gn,,,,,,,,,,,,,
vir,5784660,0,9/30/2014,6.934,z5,,,,,,,,,,,,,
vir,5773074,0,9/30/2014,6.974,z5,,,,,,,,,,,,,
vir,5430483,0,9/30/2014,7.029,z5,,,,,,,,,,,,,
vir,5430487,0,9/30/2014,7.032,z5,,,,,,,,,,,,,
vir,5679490,0,9/30/2014,7.05,z5,,,,,,,,,,,,,
vir,5679498,0,9/30/2014,7.05,z5,,,,,,,,,,,,,
vir,5782873,0,9/30/2014,7.697,z5,,,,,,,,,,,,,
vir,5773074,0,9/30/2014,7.852,bd,,,,,,,,,,,,,
vir,5430487,0,9/30/2014,7.91,bd,,,,,,,,,,,,,
vir,5679490,0,9/30/2014,7.936,bd,,,,,,,,,,,,,
vir,5679498,0,9/30/2014,7.936,bd,,,,,,,,,,,,,
vir,5430483,0,9/30/2014,7.941,bd,,,,,,,,,,,,,
vir,5784660,0,9/30/2014,8.022,bd,,,,,,,,,,,,,
vir,5784752,0,9/30/2014,8.345,gn,,,,,,,,,,,,,
vir,5784784,0,9/30/2014,9.016,z5,,,,,,,,,,,,,
vir,5806935,0,9/30/2014,9.664,z5,,,,,,,,,,,,,
vir,5782908,0,9/30/2014,9.723,bd,,,,,,,,,,,,,
vir,5806483,0,9/30/2014,10.339,gn,,,,,,,,,,,,,
vir,5665127,0,9/30/2014,10.381,bd,,,,,,,,,,,,,
vir,5649159,0,9/30/2014,11.882,z5,,,,,,,,,,,,,
vir,5661751,0,9/30/2014,11.92,bd,,,,,,,,,,,,,
vir,5784752,0,9/30/2014,12.236,z5,,,,,,,,,,,,,
vir,5782908,0,9/30/2014,12.863,z5,,,,,,,,,,,,,
vir,5643274,0,9/30/2014,13.224,gn,,,,,,,,,,,,,
vir,5784752,0,9/30/2014,14.603,bd,,,,,,,,,,,,,
vir,5560488,0,9/30/2014,15.456,gn,,,,,,,,,,,,,
vir,5806483,0,9/30/2014,15.655,z5,,,,,,,,,,,,,
vir,5649771,0,9/30/2014,15.682,z5,,,,,,,,,,,,,
vir,5649771,0,9/30/2014,16.677,gn,,,,,,,,,,,,,
vir,5567497,0,9/30/2014,16.986,gn,,,,,,,,,,,,,
vir,5806483,0,9/30/2014,18.11,bd,,,,,,,,,,,,,
vir,5560465,0,9/30/2014,18.84,gn,,,,,,,,,,,,,
vir,5643274,0,9/30/2014,23.13,bd,,,,,,,,,,,,,
vir,5560548,0,9/30/2014,26.274,gn,,,,,,,,,,,,,
vir,5560488,0,9/30/2014,27.088,bd,,,,,,,,,,,,,
vir,5649771,0,9/30/2014,29.314,bd,,,,,,,,,,,,,
vir,5567497,0,9/30/2014,29.786,bd,,,,,,,,,,,,,
vir,5560465,0,9/30/2014,33.025,bd,,,,,,,,,,,,,
vir,5667082,0,9/30/2014,34.23,gn,,,,,,,,,,,,,
vir,5560488,0,9/30/2014,34.86,z5,,,,,,,,,,,,,
vir,5676195,0,9/30/2014,37.724,z5,,,,,,,,,,,,,
vir,5567497,0,9/30/2014,38.355,z5,,,,,,,,,,,,,
vir,5652084,0,9/30/2014,39.897,gn,,,,,,,,,,,,,
vir,5560465,0,9/30/2014,42.489,z5,,,,,,,,,,,,,
vir,5560548,0,9/30/2014,45.433,bd,,,,,,,,,,,,,
vir,5788793,0,9/30/2014,50.175,gn,,,,,,,,,,,,,
vir,5560548,0,9/30/2014,59.281,z5,,,,,,,,,,,,,
vir,5667082,0,9/30/2014,59.764,bd,,,,,,,,,,,,,
vir,580378,0,9/30/2014,65.996,gn,,,,,,,,,,,,,
vir,5652084,0,9/30/2014,69.959,bd,,,,,,,,,,,,,
vir,5788793,0,9/30/2014,88.115,bd,,,,,,,,,,,,,
vir,580378,0,9/30/2014,92.524,z5,,,,,,,,,,,,,
vir,580378,0,9/30/2014,115.387,bd,,,,,,,,,,,,,
vir,5808743,0,9/30/2014,294.877,gn,,,,,,,,,,,,,
vir,5808743,0,9/30/2014,509.76,bd,,,,,,,,,,,,,
company,account,amount,date,units,fund,,,,,,,,,,,,,
company,account,amount,date,units,fund,,,,,,,,,,,,,
company,account,amount,date,units,fund,,,,,,,,,,,,,
company,account,amount,date,units,fund,,,,,,,,,,,,,
company,account,amount,date,units,fund,,,,,,,,,,,,,
